date,sunrise_start,sunrise_end,sunset_start,sunset_end,duration_minutes
2022-01-01T00:00:00+01:00,2022-01-01T08:06:00+01:00,2022-01-01T08:45:00+01:00,2022-01-01T17:27:00+01:00,2022-01-01T16:48:00+01:00,39
2022-01-02T00:00:00+01:00,2022-01-02T08:06:00+01:00,2022-01-02T08:45:00+01:00,2022-01-02T17:28:00+01:00,2022-01-02T16:49:00+01:00,39
2022-01-03T00:00:00+01:00,2022-01-03T08:06:00+01:00,2022-01-03T08:45:00+01:00,2022-01-03T17:29:00+01:00,2022-01-03T16:50:00+01:00,39
2022-01-04T00:00:00+01:00,2022-01-04T08:05:00+01:00,2022-01-04T08:44:00+01:00,2022-01-04T17:30:00+01:00,2022-01-04T16:51:00+01:00,39
2022-01-05T00:00:00+01:00,2022-01-05T08:05:00+01:00,2022-01-05T08:44:00+01:00,2022-01-05T17:31:00+01:00,2022-01-05T16:52:00+01:00,39
2022-01-06T00:00:00+01:00,2022-01-06T08:05:00+01:00,2022-01-06T08:44:00+01:00,2022-01-06T17:32:00+01:00,2022-01-06T16:53:00+01:00,39
2022-01-07T00:00:00+01:00,2022-01-07T08:05:00+01:00,2022-01-07T08:43:00+01:00,2022-01-07T17:33:00+01:00,2022-01-07T16:55:00+01:00,39
2022-01-08T00:00:00+01:00,2022-01-08T08:04:00+01:00,2022-01-08T08:43:00+01:00,2022-01-08T17:34:00+01:00,2022-01-08T16:56:00+01:00,39
2022-01-09T00:00:00+01:00,2022-01-09T08:04:00+01:00,2022-01-09T08:42:00+01:00,2022-01-09T17:36:00+01:00,2022-01-09T16:57:00+01:00,38
2022-01-10T00:00:00+01:00,2022-01-10T08:04:00+01:00,2022-01-10T08:42:00+01:00,2022-01-10T17:37:00+01:00,2022-01-10T16:59:00+01:00,38
2022-01-11T00:00:00+01:00,2022-01-11T08:03:00+01:00,2022-01-11T08:41:00+01:00,2022-01-11T17:38:00+01:00,2022-01-11T17:00:00+01:00,38
2022-01-12T00:00:00+01:00,2022-01-12T08:03:00+01:00,2022-01-12T08:41:00+01:00,2022-01-12T17:39:00+01:00,2022-01-12T17:01:00+01:00,38
2022-01-13T00:00:00+01:00,2022-01-13T08:02:00+01:00,2022-01-13T08:40:00+01:00,2022-01-13T17:41:00+01:00,2022-01-13T17:03:00+01:00,38
2022-01-14T00:00:00+01:00,2022-01-14T08:01:00+01:00,2022-01-14T08:39:00+01:00,2022-01-14T17:42:00+01:00,2022-01-14T17:04:00+01:00,38
2022-01-15T00:00:00+01:00,2022-01-15T08:01:00+01:00,2022-01-15T08:39:00+01:00,2022-01-15T17:44:00+01:00,2022-01-15T17:06:00+01:00,38
2022-01-16T00:00:00+01:00,2022-01-16T08:00:00+01:00,2022-01-16T08:38:00+01:00,2022-01-16T17:45:00+01:00,2022-01-16T17:07:00+01:00,38
2022-01-17T00:00:00+01:00,2022-01-17T07:59:00+01:00,2022-01-17T08:37:00+01:00,2022-01-17T17:46:00+01:00,2022-01-17T17:09:00+01:00,37
2022-01-18T00:00:00+01:00,2022-01-18T07:59:00+01:00,2022-01-18T08:36:00+01:00,2022-01-18T17:48:00+01:00,2022-01-18T17:10:00+01:00,37
2022-01-19T00:00:00+01:00,2022-01-19T07:58:00+01:00,2022-01-19T08:35:00+01:00,2022-01-19T17:49:00+01:00,2022-01-19T17:12:00+01:00,37
2022-01-20T00:00:00+01:00,2022-01-20T07:57:00+01:00,2022-01-20T08:34:00+01:00,2022-01-20T17:51:00+01:00,2022-01-20T17:14:00+01:00,37
2022-01-21T00:00:00+01:00,2022-01-21T07:56:00+01:00,2022-01-21T08:33:00+01:00,2022-01-21T17:52:00+01:00,2022-01-21T17:15:00+01:00,37
2022-01-22T00:00:00+01:00,2022-01-22T07:55:00+01:00,2022-01-22T08:32:00+01:00,2022-01-22T17:54:00+01:00,2022-01-22T17:17:00+01:00,37
2022-01-23T00:00:00+01:00,2022-01-23T07:54:00+01:00,2022-01-23T08:31:00+01:00,2022-01-23T17:55:00+01:00,2022-01-23T17:19:00+01:00,37
2022-01-24T00:00:00+01:00,2022-01-24T07:53:00+01:00,2022-01-24T08:29:00+01:00,2022-01-24T17:57:00+01:00,2022-01-24T17:20:00+01:00,37
2022-01-25T00:00:00+01:00,2022-01-25T07:52:00+01:00,2022-01-25T08:28:00+01:00,2022-01-25T17:58:00+01:00,2022-01-25T17:22:00+01:00,36
2022-01-26T00:00:00+01:00,2022-01-26T07:51:00+01:00,2022-01-26T08:27:00+01:00,2022-01-26T18:00:00+01:00,2022-01-26T17:24:00+01:00,36
2022-01-27T00:00:00+01:00,2022-01-27T07:50:00+01:00,2022-01-27T08:26:00+01:00,2022-01-27T18:02:00+01:00,2022-01-27T17:25:00+01:00,36
2022-01-28T00:00:00+01:00,2022-01-28T07:48:00+01:00,2022-01-28T08:24:00+01:00,2022-01-28T18:03:00+01:00,2022-01-28T17:27:00+01:00,36
2022-01-29T00:00:00+01:00,2022-01-29T07:47:00+01:00,2022-01-29T08:23:00+01:00,2022-01-29T18:05:00+01:00,2022-01-29T17:29:00+01:00,36
2022-01-30T00:00:00+01:00,2022-01-30T07:46:00+01:00,2022-01-30T08:22:00+01:00,2022-01-30T18:06:00+01:00,2022-01-30T17:31:00+01:00,36
2022-01-31T00:00:00+01:00,2022-01-31T07:45:00+01:00,2022-01-31T08:20:00+01:00,2022-01-31T18:08:00+01:00,2022-01-31T17:32:00+01:00,36
2022-02-01T00:00:00+01:00,2022-02-01T07:43:00+01:00,2022-02-01T08:19:00+01:00,2022-02-01T18:10:00+01:00,2022-02-01T17:34:00+01:00,36
2022-02-02T00:00:00+01:00,2022-02-02T07:42:00+01:00,2022-02-02T08:17:00+01:00,2022-02-02T18:11:00+01:00,2022-02-02T17:36:00+01:00,35
2022-02-03T00:00:00+01:00,2022-02-03T07:40:00+01:00,2022-02-03T08:16:00+01:00,2022-02-03T18:13:00+01:00,2022-02-03T17:38:00+01:00,35
2022-02-04T00:00:00+01:00,2022-02-04T07:39:00+01:00,2022-02-04T08:14:00+01:00,2022-02-04T18:15:00+01:00,2022-02-04T17:39:00+01:00,35
2022-02-05T00:00:00+01:00,2022-02-05T07:37:00+01:00,2022-02-05T08:13:00+01:00,2022-02-05T18:16:00+01:00,2022-02-05T17:41:00+01:00,35
2022-02-06T00:00:00+01:00,2022-02-06T07:36:00+01:00,2022-02-06T08:11:00+01:00,2022-02-06T18:18:00+01:00,2022-02-06T17:43:00+01:00,35
2022-02-07T00:00:00+01:00,2022-02-07T07:34:00+01:00,2022-02-07T08:09:00+01:00,2022-02-07T18:20:00+01:00,2022-02-07T17:45:00+01:00,35
2022-02-08T00:00:00+01:00,2022-02-08T07:33:00+01:00,2022-02-08T08:08:00+01:00,2022-02-08T18:21:00+01:00,2022-02-08T17:47:00+01:00,35
2022-02-09T00:00:00+01:00,2022-02-09T07:31:00+01:00,2022-02-09T08:06:00+01:00,2022-02-09T18:23:00+01:00,2022-02-09T17:48:00+01:00,35
2022-02-10T00:00:00+01:00,2022-02-10T07:30:00+01:00,2022-02-10T08:04:00+01:00,2022-02-10T18:25:00+01:00,2022-02-10T17:50:00+01:00,35
2022-02-11T00:00:00+01:00,2022-02-11T07:28:00+01:00,2022-02-11T08:02:00+01:00,2022-02-11T18:26:00+01:00,2022-02-11T17:52:00+01:00,34
2022-02-12T00:00:00+01:00,2022-02-12T07:26:00+01:00,2022-02-12T08:01:00+01:00,2022-02-12T18:28:00+01:00,2022-02-12T17:54:00+01:00,34
2022-02-13T00:00:00+01:00,2022-02-13T07:25:00+01:00,2022-02-13T07:59:00+01:00,2022-02-13T18:30:00+01:00,2022-02-13T17:55:00+01:00,34
2022-02-14T00:00:00+01:00,2022-02-14T07:23:00+01:00,2022-02-14T07:57:00+01:00,2022-02-14T18:31:00+01:00,2022-02-14T17:57:00+01:00,34
2022-02-15T00:00:00+01:00,2022-02-15T07:21:00+01:00,2022-02-15T07:55:00+01:00,2022-02-15T18:33:00+01:00,2022-02-15T17:59:00+01:00,34
2022-02-16T00:00:00+01:00,2022-02-16T07:19:00+01:00,2022-02-16T07:53:00+01:00,2022-02-16T18:35:00+01:00,2022-02-16T18:01:00+01:00,34
2022-02-17T00:00:00+01:00,2022-02-17T07:17:00+01:00,2022-02-17T07:51:00+01:00,2022-02-17T18:36:00+01:00,2022-02-17T18:03:00+01:00,34
2022-02-18T00:00:00+01:00,2022-02-18T07:16:00+01:00,2022-02-18T07:49:00+01:00,2022-02-18T18:38:00+01:00,2022-02-18T18:04:00+01:00,34
2022-02-19T00:00:00+01:00,2022-02-19T07:14:00+01:00,2022-02-19T07:47:00+01:00,2022-02-19T18:40:00+01:00,2022-02-19T18:06:00+01:00,34
2022-02-20T00:00:00+01:00,2022-02-20T07:12:00+01:00,2022-02-20T07:45:00+01:00,2022-02-20T18:41:00+01:00,2022-02-20T18:08:00+01:00,34
2022-02-21T00:00:00+01:00,2022-02-21T07:10:00+01:00,2022-02-21T07:43:00+01:00,2022-02-21T18:43:00+01:00,2022-02-21T18:10:00+01:00,34
2022-02-22T00:00:00+01:00,2022-02-22T07:08:00+01:00,2022-02-22T07:41:00+01:00,2022-02-22T18:45:00+01:00,2022-02-22T18:11:00+01:00,33
2022-02-23T00:00:00+01:00,2022-02-23T07:06:00+01:00,2022-02-23T07:39:00+01:00,2022-02-23T18:47:00+01:00,2022-02-23T18:13:00+01:00,33
2022-02-24T00:00:00+01:00,2022-02-24T07:04:00+01:00,2022-02-24T07:37:00+01:00,2022-02-24T18:48:00+01:00,2022-02-24T18:15:00+01:00,33
2022-02-25T00:00:00+01:00,2022-02-25T07:02:00+01:00,2022-02-25T07:35:00+01:00,2022-02-25T18:50:00+01:00,2022-02-25T18:17:00+01:00,33
2022-02-26T00:00:00+01:00,2022-02-26T07:00:00+01:00,2022-02-26T07:33:00+01:00,2022-02-26T18:52:00+01:00,2022-02-26T18:18:00+01:00,33
2022-02-27T00:00:00+01:00,2022-02-27T06:58:00+01:00,2022-02-27T07:31:00+01:00,2022-02-27T18:53:00+01:00,2022-02-27T18:20:00+01:00,33
2022-02-28T00:00:00+01:00,2022-02-28T06:56:00+01:00,2022-02-28T07:29:00+01:00,2022-02-28T18:55:00+01:00,2022-02-28T18:22:00+01:00,33
2022-03-01T00:00:00+01:00,2022-03-01T06:54:00+01:00,2022-03-01T07:27:00+01:00,2022-03-01T18:57:00+01:00,2022-03-01T18:24:00+01:00,33
2022-03-02T00:00:00+01:00,2022-03-02T06:52:00+01:00,2022-03-02T07:25:00+01:00,2022-03-02T18:58:00+01:00,2022-03-02T18:25:00+01:00,33
2022-03-03T00:00:00+01:00,2022-03-03T06:50:00+01:00,2022-03-03T07:23:00+01:00,2022-03-03T19:00:00+01:00,2022-03-03T18:27:00+01:00,33
2022-03-04T00:00:00+01:00,2022-03-04T06:48:00+01:00,2022-03-04T07:21:00+01:00,2022-03-04T19:02:00+01:00,2022-03-04T18:29:00+01:00,33
2022-03-05T00:00:00+01:00,2022-03-05T06:46:00+01:00,2022-03-05T07:19:00+01:00,2022-03-05T19:03:00+01:00,2022-03-05T18:30:00+01:00,33
2022-03-06T00:00:00+01:00,2022-03-06T06:44:00+01:00,2022-03-06T07:16:00+01:00,2022-03-06T19:05:00+01:00,2022-03-06T18:32:00+01:00,33
2022-03-07T00:00:00+01:00,2022-03-07T06:42:00+01:00,2022-03-07T07:14:00+01:00,2022-03-07T19:07:00+01:00,2022-03-07T18:34:00+01:00,33
2022-03-08T00:00:00+01:00,2022-03-08T06:39:00+01:00,2022-03-08T07:12:00+01:00,2022-03-08T19:08:00+01:00,2022-03-08T18:35:00+01:00,33
2022-03-09T00:00:00+01:00,2022-03-09T06:37:00+01:00,2022-03-09T07:10:00+01:00,2022-03-09T19:10:00+01:00,2022-03-09T18:37:00+01:00,33
2022-03-10T00:00:00+01:00,2022-03-10T06:35:00+01:00,2022-03-10T07:08:00+01:00,2022-03-10T19:12:00+01:00,2022-03-10T18:39:00+01:00,33
2022-03-11T00:00:00+01:00,2022-03-11T06:33:00+01:00,2022-03-11T07:06:00+01:00,2022-03-11T19:13:00+01:00,2022-03-11T18:40:00+01:00,33
2022-03-12T00:00:00+01:00,2022-03-12T06:31:00+01:00,2022-03-12T07:03:00+01:00,2022-03-12T19:15:00+01:00,2022-03-12T18:42:00+01:00,33
2022-03-13T00:00:00+01:00,2022-03-13T06:29:00+01:00,2022-03-13T07:01:00+01:00,2022-03-13T19:17:00+01:00,2022-03-13T18:44:00+01:00,33
2022-03-14T00:00:00+01:00,2022-03-14T06:26:00+01:00,2022-03-14T06:59:00+01:00,2022-03-14T19:18:00+01:00,2022-03-14T18:45:00+01:00,33
2022-03-15T00:00:00+01:00,2022-03-15T06:24:00+01:00,2022-03-15T06:57:00+01:00,2022-03-15T19:20:00+01:00,2022-03-15T18:47:00+01:00,33
2022-03-16T00:00:00+01:00,2022-03-16T06:22:00+01:00,2022-03-16T06:55:00+01:00,2022-03-16T19:22:00+01:00,2022-03-16T18:49:00+01:00,33
2022-03-17T00:00:00+01:00,2022-03-17T06:20:00+01:00,2022-03-17T06:52:00+01:00,2022-03-17T19:23:00+01:00,2022-03-17T18:50:00+01:00,33
2022-03-18T00:00:00+01:00,2022-03-18T06:17:00+01:00,2022-03-18T06:50:00+01:00,2022-03-18T19:25:00+01:00,2022-03-18T18:52:00+01:00,33
2022-03-19T00:00:00+01:00,2022-03-19T06:15:00+01:00,2022-03-19T06:48:00+01:00,2022-03-19T19:27:00+01:00,2022-03-19T18:54:00+01:00,33
2022-03-20T00:00:00+01:00,2022-03-20T06:13:00+01:00,2022-03-20T06:46:00+01:00,2022-03-20T19:28:00+01:00,2022-03-20T18:55:00+01:00,33
2022-03-21T00:00:00+01:00,2022-03-21T06:11:00+01:00,2022-03-21T06:43:00+01:00,2022-03-21T19:30:00+01:00,2022-03-21T18:57:00+01:00,33
2022-03-22T00:00:00+01:00,2022-03-22T06:08:00+01:00,2022-03-22T06:41:00+01:00,2022-03-22T19:32:00+01:00,2022-03-22T18:59:00+01:00,33
2022-03-23T00:00:00+01:00,2022-03-23T06:06:00+01:00,2022-03-23T06:39:00+01:00,2022-03-23T19:33:00+01:00,2022-03-23T19:00:00+01:00,33
2022-03-24T00:00:00+01:00,2022-03-24T06:04:00+01:00,2022-03-24T06:37:00+01:00,2022-03-24T19:35:00+01:00,2022-03-24T19:02:00+01:00,33
2022-03-25T00:00:00+01:00,2022-03-25T06:02:00+01:00,2022-03-25T06:34:00+01:00,2022-03-25T19:37:00+01:00,2022-03-25T19:04:00+01:00,33
2022-03-26T00:00:00+01:00,2022-03-26T05:59:00+01:00,2022-03-26T06:32:00+01:00,2022-03-26T19:38:00+01:00,2022-03-26T19:05:00+01:00,33
2022-03-27T00:00:00+01:00,2022-03-27T06:57:00+02:00,2022-03-27T07:30:00+02:00,2022-03-27T20:40:00+02:00,2022-03-27T20:07:00+02:00,33
2022-03-28T00:00:00+02:00,2022-03-28T06:55:00+02:00,2022-03-28T07:28:00+02:00,2022-03-28T20:42:00+02:00,2022-03-28T20:08:00+02:00,33
2022-03-29T00:00:00+02:00,2022-03-29T06:52:00+02:00,2022-03-29T07:26:00+02:00,2022-03-29T20:43:00+02:00,2022-03-29T20:10:00+02:00,33
2022-03-30T00:00:00+02:00,2022-03-30T06:50:00+02:00,2022-03-30T07:23:00+02:00,2022-03-30T20:45:00+02:00,2022-03-30T20:12:00+02:00,33
2022-03-31T00:00:00+02:00,2022-03-31T06:48:00+02:00,2022-03-31T07:21:00+02:00,2022-03-31T20:47:00+02:00,2022-03-31T20:13:00+02:00,33
2022-04-01T00:00:00+02:00,2022-04-01T06:46:00+02:00,2022-04-01T07:19:00+02:00,2022-04-01T20:48:00+02:00,2022-04-01T20:15:00+02:00,33
2022-04-02T00:00:00+02:00,2022-04-02T06:43:00+02:00,2022-04-02T07:17:00+02:00,2022-04-02T20:50:00+02:00,2022-04-02T20:17:00+02:00,34
2022-04-03T00:00:00+02:00,2022-04-03T06:41:00+02:00,2022-04-03T07:14:00+02:00,2022-04-03T20:52:00+02:00,2022-04-03T20:18:00+02:00,34
2022-04-04T00:00:00+02:00,2022-04-04T06:39:00+02:00,2022-04-04T07:12:00+02:00,2022-04-04T20:54:00+02:00,2022-04-04T20:20:00+02:00,34
2022-04-05T00:00:00+02:00,2022-04-05T06:36:00+02:00,2022-04-05T07:10:00+02:00,2022-04-05T20:55:00+02:00,2022-04-05T20:22:00+02:00,34
2022-04-06T00:00:00+02:00,2022-04-06T06:34:00+02:00,2022-04-06T07:08:00+02:00,2022-04-06T20:57:00+02:00,2022-04-06T20:23:00+02:00,34
2022-04-07T00:00:00+02:00,2022-04-07T06:32:00+02:00,2022-04-07T07:06:00+02:00,2022-04-07T20:59:00+02:00,2022-04-07T20:25:00+02:00,34
2022-04-08T00:00:00+02:00,2022-04-08T06:30:00+02:00,2022-04-08T07:04:00+02:00,2022-04-08T21:01:00+02:00,2022-04-08T20:26:00+02:00,34
2022-04-09T00:00:00+02:00,2022-04-09T06:27:00+02:00,2022-04-09T07:01:00+02:00,2022-04-09T21:02:00+02:00,2022-04-09T20:28:00+02:00,34
2022-04-10T00:00:00+02:00,2022-04-10T06:25:00+02:00,2022-04-10T06:59:00+02:00,2022-04-10T21:04:00+02:00,2022-04-10T20:30:00+02:00,34
2022-04-11T00:00:00+02:00,2022-04-11T06:23:00+02:00,2022-04-11T06:57:00+02:00,2022-04-11T21:06:00+02:00,2022-04-11T20:31:00+02:00,34
2022-04-12T00:00:00+02:00,2022-04-12T06:21:00+02:00,2022-04-12T06:55:00+02:00,2022-04-12T21:07:00+02:00,2022-04-12T20:33:00+02:00,35
2022-04-13T00:00:00+02:00,2022-04-13T06:18:00+02:00,2022-04-13T06:53:00+02:00,2022-04-13T21:09:00+02:00,2022-04-13T20:35:00+02:00,35
2022-04-14T00:00:00+02:00,2022-04-14T06:16:00+02:00,2022-04-14T06:51:00+02:00,2022-04-14T21:11:00+02:00,2022-04-14T20:36:00+02:00,35
2022-04-15T00:00:00+02:00,2022-04-15T06:14:00+02:00,2022-04-15T06:49:00+02:00,2022-04-15T21:13:00+02:00,2022-04-15T20:38:00+02:00,35
2022-04-16T00:00:00+02:00,2022-04-16T06:12:00+02:00,2022-04-16T06:46:00+02:00,2022-04-16T21:14:00+02:00,2022-04-16T20:39:00+02:00,35
2022-04-17T00:00:00+02:00,2022-04-17T06:09:00+02:00,2022-04-17T06:44:00+02:00,2022-04-17T21:16:00+02:00,2022-04-17T20:41:00+02:00,35
2022-04-18T00:00:00+02:00,2022-04-18T06:07:00+02:00,2022-04-18T06:42:00+02:00,2022-04-18T21:18:00+02:00,2022-04-18T20:43:00+02:00,35
2022-04-19T00:00:00+02:00,2022-04-19T06:05:00+02:00,2022-04-19T06:40:00+02:00,2022-04-19T21:20:00+02:00,2022-04-19T20:44:00+02:00,36
2022-04-20T00:00:00+02:00,2022-04-20T06:03:00+02:00,2022-04-20T06:38:00+02:00,2022-04-20T21:22:00+02:00,2022-04-20T20:46:00+02:00,36
2022-04-21T00:00:00+02:00,2022-04-21T06:01:00+02:00,2022-04-21T06:36:00+02:00,2022-04-21T21:23:00+02:00,2022-04-21T20:47:00+02:00,36
2022-04-22T00:00:00+02:00,2022-04-22T05:58:00+02:00,2022-04-22T06:34:00+02:00,2022-04-22T21:25:00+02:00,2022-04-22T20:49:00+02:00,36
2022-04-23T00:00:00+02:00,2022-04-23T05:56:00+02:00,2022-04-23T06:32:00+02:00,2022-04-23T21:27:00+02:00,2022-04-23T20:51:00+02:00,36
2022-04-24T00:00:00+02:00,2022-04-24T05:54:00+02:00,2022-04-24T06:30:00+02:00,2022-04-24T21:29:00+02:00,2022-04-24T20:52:00+02:00,36
2022-04-25T00:00:00+02:00,2022-04-25T05:52:00+02:00,2022-04-25T06:28:00+02:00,2022-04-25T21:30:00+02:00,2022-04-25T20:54:00+02:00,36
2022-04-26T00:00:00+02:00,2022-04-26T05:50:00+02:00,2022-04-26T06:26:00+02:00,2022-04-26T21:32:00+02:00,2022-04-26T20:56:00+02:00,37
2022-04-27T00:00:00+02:00,2022-04-27T05:48:00+02:00,2022-04-27T06:24:00+02:00,2022-04-27T21:34:00+02:00,2022-04-27T20:57:00+02:00,37
2022-04-28T00:00:00+02:00,2022-04-28T05:46:00+02:00,2022-04-28T06:22:00+02:00,2022-04-28T21:36:00+02:00,2022-04-28T20:59:00+02:00,37
2022-04-29T00:00:00+02:00,2022-04-29T05:44:00+02:00,2022-04-29T06:21:00+02:00,2022-04-29T21:38:00+02:00,2022-04-29T21:00:00+02:00,37
2022-04-30T00:00:00+02:00,2022-04-30T05:42:00+02:00,2022-04-30T06:19:00+02:00,2022-04-30T21:39:00+02:00,2022-04-30T21:02:00+02:00,37
2022-05-01T00:00:00+02:00,2022-05-01T05:39:00+02:00,2022-05-01T06:17:00+02:00,2022-05-01T21:41:00+02:00,2022-05-01T21:04:00+02:00,38
